id	name_tech	name_iso	how	colors_iso	colors_intersection	opacity_isos	opacity_intersection	shape	region_id	date	adresses	nb_adresses	id_location	time	jump	duration	step	simplify	excluded_modes	buffer_radar	around	origine_screen	only_overlay	only_buffer	buffer_times	buffer_opacity	buffer_color	buffer_contour_size	export_no_tiles	export_with_tiles	export_anim	Image (théorie)	Lien drive	Liens
iso_type_7-location_2_3	Union_Isos_-	iso_type_7	intersection	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.3	0.3	poly	fr-ne	2018-06-28	["20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq"]	2	3	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_8-location_2_1	Difference_Empty_Intersected	iso_type_8	symmetric_difference	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.0	0.3	poly	fr-ne	2018-06-28	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille"]	2	1	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_8-location_2_2	Difference_Empty_Intersected	iso_type_8	symmetric_difference	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.0	0.3	poly	fr-ne	2018-06-28	["10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	2	2	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_8-location_2_3	Difference_Empty_Intersected	iso_type_8	symmetric_difference	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.0	0.3	poly	fr-ne	2018-06-28	["20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq"]	2	3	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_9-location_2_1	Difference_Contour_Isos	iso_type_9	intersection	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.3	0.3	line	fr-ne	2018-06-28	["Avenue du 43e régiment d'infanterie, 59800 Lille","100 Avenue Willy Brandt, 59777 Lille"]	2	1	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_9-location_2_2	Difference_Contour_Isos	iso_type_9	intersection	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.3	0.3	line	fr-ne	2018-06-28	["10 Rue Esquermoise, 59800 Lille","36 Avenue Marx Dormoy, 59000 Lille"]	2	2	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_9-location_2_3	Difference_Contour_Isos	iso_type_9	intersection	["#ff0000","#ff0000","#ff0000"]	#ff0000	0.3	0.3	line	fr-ne	2018-06-28	["20 Rue Élisée Reclus, 59650 Villeneuve-d'Ascq","6 Chemin Charlie Parker 59650 Villeneuve-d'Ascq"]	2	3	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_1-location_3_4	Intersection_AlphaBlending_Uncalculated	iso_type_1	intersection	["#ff0000","#0000ff","#00ff00"]	#ffffff	0.3	0.0	poly	fr-ne	2018-06-28	["1 Allée du Musée, 59650 Villeneuve-d'Ascq","2 Rue du Ventoux, 59650 Villeneuve-d'Ascq","Place des Buisses, 59800 Lille"]	3	4	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_1-location_3_5	Intersection_AlphaBlending_Uncalculated	iso_type_1	intersection	["#ff0000","#0000ff","#00ff00"]	#ffffff	0.3	0.0	poly	fr-ne	2018-06-28	["1 Place de Verdun, 59000 Lille","1 Rue du Château d'Isenghien, 59160 Lomme","33 Rue d'Iéna, 59000 Lille"]	3	5	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_1-location_3_6	Intersection_AlphaBlending_Uncalculated	iso_type_1	intersection	["#ff0000","#0000ff","#00ff00"]	#ffffff	0.3	0.0	poly	fr-ne	2018-06-28	["151 Avenue du Président Hoover, 59555 Lille","1 Rue de Trévise, 59000 Lille","19 Rue de Bruxelles, 59000 Lille"]	3	6	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
iso_type_2-location_3_4	Intersection_AlphaBlending_Calculated	iso_type_2	intersection	["#ff0000","#0000ff","#00ff00"]	None	0.3	0.3	poly	fr-ne	2018-06-28	["1 Allée du Musée, 59650 Villeneuve-d'Ascq","2 Rue du Ventoux, 59650 Villeneuve-d'Ascq","Place des Buisses, 59800 Lille"]	3	4	08:00	0	30	0	None	[]	0		1	0	0	["10,20,30", "10,20,30"]	[0.5, 0.5]	["#ff0000","#0000ff"]	["0.5,1.0,2.0", "0.5,1.0,2.0"]	.//output_png/tests//no_tiles//	.//output_png//tests//with_tiles//	.//output_png//tests//animation//			
